m,meant,maxt,mint,meanb,maxb,minb
 85151,0.7427E-04,0.8917E-04,0.6986E-04,0.9228E+10,0.9752E+10,0.7640E+10
 85201,0.7343E-04,0.8750E-04,0.6986E-04,0.9342E+10,0.9757E+10,0.7790E+10
 85251,0.7234E-04,0.8368E-04,0.6962E-04,0.9463E+10,0.9796E+10,0.8150E+10
 85301,0.7157E-04,0.8059E-04,0.6962E-04,0.9552E+10,0.9802E+10,0.8468E+10
 85351,0.7184E-04,0.8130E-04,0.6938E-04,0.9529E+10,0.9842E+10,0.8399E+10
 85401,0.7122E-04,0.7939E-04,0.6962E-04,0.9607E+10,0.9814E+10,0.8605E+10
 85451,0.7305E-04,0.8345E-04,0.7010E-04,0.9390E+10,0.9753E+10,0.8192E+10
 85501,0.7207E-04,0.7963E-04,0.6986E-04,0.9512E+10,0.9792E+10,0.8590E+10
 85551,0.7172E-04,0.7915E-04,0.6986E-04,0.9561E+10,0.9797E+10,0.8646E+10
 85601,0.7160E-04,0.8082E-04,0.6986E-04,0.9581E+10,0.9803E+10,0.8473E+10
 85651,0.7167E-04,0.7725E-04,0.7010E-04,0.9574E+10,0.9775E+10,0.8870E+10
 85701,0.7701E-04,0.8440E-04,0.7319E-04,0.8917E+10,0.9367E+10,0.8123E+10
 85751,0.7498E-04,0.8368E-04,0.7057E-04,0.9186E+10,0.9721E+10,0.8198E+10
 85801,0.7651E-04,0.9871E-04,0.7033E-04,0.9118E+10,0.9759E+10,0.6954E+10
 85851,0.7427E-04,0.8154E-04,0.7057E-04,0.9268E+10,0.9732E+10,0.8423E+10
 85901,0.7861E-04,0.8702E-04,0.7105E-04,0.8803E+10,0.9672E+10,0.7897E+10
 85951,0.7939E-04,0.9227E-04,0.7653E-04,0.8686E+10,0.8985E+10,0.7452E+10
 86001,0.7489E-04,0.8535E-04,0.7057E-04,0.9230E+10,0.9749E+10,0.8061E+10
 86051,0.7164E-04,0.7439E-04,0.7081E-04,0.9611E+10,0.9722E+10,0.9254E+10
 86101,0.7424E-04,0.8059E-04,0.7057E-04,0.9290E+10,0.9760E+10,0.8548E+10
 86151,0.7322E-04,0.7749E-04,0.7081E-04,0.9424E+10,0.9733E+10,0.8895E+10
 86201,0.7310E-04,0.7963E-04,0.7057E-04,0.9450E+10,0.9772E+10,0.8660E+10
