m,meant,maxt,mint,meanb,maxb,minb
119151,0.1052E-03,0.1175E-03,0.1001E-03,0.9084E+10,0.9519E+10,0.8110E+10
119201,0.1037E-03,0.1225E-03,0.9942E-04,0.9225E+10,0.9592E+10,0.7782E+10
119251,0.1012E-03,0.1113E-03,0.9847E-04,0.9440E+10,0.9689E+10,0.8568E+10
119301,0.9992E-04,0.1044E-03,0.9751E-04,0.9555E+10,0.9787E+10,0.9139E+10
119351,0.1045E-03,0.1140E-03,0.9847E-04,0.9160E+10,0.9697E+10,0.8378E+10
119401,0.1072E-03,0.1161E-03,0.1001E-03,0.8930E+10,0.9539E+10,0.8227E+10
119451,0.1120E-03,0.1204E-03,0.1013E-03,0.8547E+10,0.9431E+10,0.7937E+10
119501,0.1213E-03,0.1466E-03,0.1016E-03,0.7992E+10,0.9413E+10,0.6520E+10
119551,0.1067E-03,0.1175E-03,0.1009E-03,0.8983E+10,0.9483E+10,0.8137E+10
119601,0.1239E-03,0.2017E-03,0.1018E-03,0.8053E+10,0.9398E+10,0.4744E+10
119651,0.1114E-03,0.1335E-03,0.9990E-04,0.8656E+10,0.9582E+10,0.7169E+10
119701,0.1127E-03,0.1304E-03,0.1004E-03,0.8537E+10,0.9540E+10,0.7343E+10
119751,0.1035E-03,0.1152E-03,0.9918E-04,0.9277E+10,0.9659E+10,0.8319E+10
119801,0.1007E-03,0.1101E-03,0.9751E-04,0.9537E+10,0.9828E+10,0.8701E+10
119851,0.1089E-03,0.1211E-03,0.9942E-04,0.8847E+10,0.9644E+10,0.7916E+10
119901,0.1096E-03,0.1502E-03,0.9966E-04,0.8888E+10,0.9625E+10,0.6386E+10
119951,0.1093E-03,0.1543E-03,0.1001E-03,0.8955E+10,0.9583E+10,0.6221E+10
120001,0.1046E-03,0.1326E-03,0.9799E-04,0.9265E+10,0.9797E+10,0.7242E+10
120051,0.1036E-03,0.1314E-03,0.9799E-04,0.9343E+10,0.9801E+10,0.7311E+10
120101,0.1053E-03,0.1183E-03,0.9775E-04,0.9158E+10,0.9829E+10,0.8125E+10
120151,0.1136E-03,0.1402E-03,0.1054E-03,0.8510E+10,0.9121E+10,0.6856E+10
120201,0.1070E-03,0.1149E-03,0.1013E-03,0.9000E+10,0.9490E+10,0.8368E+10
120251,0.1025E-03,0.1206E-03,0.9799E-04,0.9416E+10,0.9817E+10,0.7974E+10
120301,0.1041E-03,0.1128E-03,0.9894E-04,0.9256E+10,0.9727E+10,0.8534E+10
120351,0.1074E-03,0.1264E-03,0.1016E-03,0.9002E+10,0.9480E+10,0.7619E+10
120401,0.1050E-03,0.1321E-03,0.9966E-04,0.9235E+10,0.9665E+10,0.7292E+10
120451,0.1098E-03,0.1173E-03,0.9894E-04,0.8810E+10,0.9739E+10,0.8215E+10
120501,0.1114E-03,0.1428E-03,0.1011E-03,0.8749E+10,0.9536E+10,0.6750E+10
120551,0.1046E-03,0.1218E-03,0.9799E-04,0.9267E+10,0.9842E+10,0.7916E+10
120601,0.1076E-03,0.1249E-03,0.9942E-04,0.9020E+10,0.9704E+10,0.7723E+10
120651,0.1097E-03,0.1404E-03,0.1004E-03,0.8924E+10,0.9616E+10,0.6873E+10
120701,0.1063E-03,0.1299E-03,0.9918E-04,0.9140E+10,0.9736E+10,0.7431E+10
120751,0.1054E-03,0.1280E-03,0.9871E-04,0.9229E+10,0.9787E+10,0.7545E+10
120801,0.1019E-03,0.1175E-03,0.9823E-04,0.9516E+10,0.9838E+10,0.8222E+10
120851,0.1006E-03,0.1116E-03,0.9775E-04,0.9627E+10,0.9890E+10,0.8665E+10
120901,0.1094E-03,0.1175E-03,0.1049E-03,0.8854E+10,0.9220E+10,0.8229E+10
120951,0.1055E-03,0.1214E-03,0.9942E-04,0.9207E+10,0.9732E+10,0.7973E+10
121001,0.1059E-03,0.1245E-03,0.9871E-04,0.9192E+10,0.9807E+10,0.7778E+10
121051,0.1131E-03,0.1295E-03,0.1016E-03,0.8615E+10,0.9535E+10,0.7480E+10
121101,0.1135E-03,0.1326E-03,0.1028E-03,0.8589E+10,0.9428E+10,0.7308E+10
121151,0.1147E-03,0.1576E-03,0.1001E-03,0.8622E+10,0.9679E+10,0.6150E+10
121201,0.1188E-03,0.1378E-03,0.1082E-03,0.8211E+10,0.8958E+10,0.7036E+10
121251,0.1057E-03,0.1152E-03,0.1004E-03,0.9199E+10,0.9664E+10,0.8423E+10
121301,0.1055E-03,0.1333E-03,0.9871E-04,0.9272E+10,0.9831E+10,0.7281E+10
121351,0.1143E-03,0.1187E-03,0.1113E-03,0.8500E+10,0.8719E+10,0.8176E+10
121401,0.1014E-03,0.1080E-03,0.9966E-04,0.9583E+10,0.9745E+10,0.8992E+10
121451,0.1013E-03,0.1049E-03,0.9918E-04,0.9593E+10,0.9796E+10,0.9262E+10
121501,0.1031E-03,0.1159E-03,0.9966E-04,0.9444E+10,0.9753E+10,0.8389E+10
121551,0.1007E-03,0.1032E-03,0.9918E-04,0.9661E+10,0.9804E+10,0.9419E+10
121601,0.9940E-04,0.1006E-03,0.9871E-04,0.9788E+10,0.9856E+10,0.9669E+10
121651,0.1142E-03,0.1328E-03,0.9918E-04,0.8603E+10,0.9812E+10,0.7328E+10
121701,0.1079E-03,0.1209E-03,0.1004E-03,0.9066E+10,0.9700E+10,0.8054E+10
121751,0.1094E-03,0.1295E-03,0.9966E-04,0.8995E+10,0.9773E+10,0.7524E+10
121801,0.1116E-03,0.1259E-03,0.1040E-03,0.8765E+10,0.9374E+10,0.7740E+10
121851,0.1232E-03,0.1647E-03,0.1054E-03,0.8011E+10,0.9250E+10,0.5917E+10
121901,0.1111E-03,0.1154E-03,0.1073E-03,0.8782E+10,0.9090E+10,0.8451E+10
121951,0.1109E-03,0.1152E-03,0.1082E-03,0.8802E+10,0.9013E+10,0.8472E+10
122001,0.1377E-03,0.1645E-03,0.1266E-03,0.7124E+10,0.7709E+10,0.5933E+10
122051,0.1431E-03,0.1884E-03,0.1070E-03,0.7039E+10,0.9121E+10,0.5184E+10
122101,0.1298E-03,0.1543E-03,0.1144E-03,0.7600E+10,0.8535E+10,0.6332E+10
122151,0.1256E-03,0.1402E-03,0.1104E-03,0.7823E+10,0.8852E+10,0.6971E+10
122201,0.1139E-03,0.1836E-03,0.1009E-03,0.8873E+10,0.9694E+10,0.5325E+10
122251,0.1178E-03,0.1295E-03,0.1087E-03,0.8327E+10,0.8996E+10,0.7554E+10
122301,0.1164E-03,0.1447E-03,0.1011E-03,0.8523E+10,0.9679E+10,0.6761E+10
122351,0.1084E-03,0.1194E-03,0.1028E-03,0.9056E+10,0.9525E+10,0.8194E+10
122401,0.1064E-03,0.1240E-03,0.9990E-04,0.9253E+10,0.9802E+10,0.7898E+10
122451,0.1070E-03,0.1128E-03,0.1025E-03,0.9160E+10,0.9555E+10,0.8687E+10
122501,0.1302E-03,0.1571E-03,0.1159E-03,0.7620E+10,0.8458E+10,0.6237E+10
122551,0.1187E-03,0.1528E-03,0.1097E-03,0.8383E+10,0.8939E+10,0.6415E+10
122601,0.1221E-03,0.1371E-03,0.1023E-03,0.8088E+10,0.9589E+10,0.7154E+10
122651,0.1149E-03,0.1273E-03,0.1028E-03,0.8570E+10,0.9549E+10,0.7707E+10
122701,0.1071E-03,0.1276E-03,0.1013E-03,0.9201E+10,0.9687E+10,0.7696E+10
122751,0.1070E-03,0.1180E-03,0.1016E-03,0.9194E+10,0.9669E+10,0.8321E+10
122801,0.1092E-03,0.1223E-03,0.1028E-03,0.9026E+10,0.9560E+10,0.8032E+10
122851,0.1053E-03,0.1264E-03,0.1013E-03,0.9373E+10,0.9699E+10,0.7778E+10
122901,0.1037E-03,0.1190E-03,0.1006E-03,0.9504E+10,0.9772E+10,0.8264E+10
122951,0.1030E-03,0.1137E-03,0.1001E-03,0.9568E+10,0.9823E+10,0.8649E+10
123001,0.1079E-03,0.1168E-03,0.1004E-03,0.9143E+10,0.9803E+10,0.8423E+10
123051,0.1099E-03,0.1380E-03,0.1009E-03,0.9054E+10,0.9761E+10,0.7131E+10
123101,0.1103E-03,0.1371E-03,0.1011E-03,0.9011E+10,0.9742E+10,0.7184E+10
123151,0.1046E-03,0.1183E-03,0.1004E-03,0.9444E+10,0.9815E+10,0.8331E+10
123201,0.1132E-03,0.1254E-03,0.1040E-03,0.8750E+10,0.9482E+10,0.7859E+10
123251,0.1144E-03,0.1416E-03,0.1025E-03,0.8727E+10,0.9618E+10,0.6962E+10
123301,0.1148E-03,0.1245E-03,0.1047E-03,0.8617E+10,0.9424E+10,0.7926E+10
123351,0.1099E-03,0.1304E-03,0.1018E-03,0.9057E+10,0.9693E+10,0.7567E+10
123401,0.1119E-03,0.1442E-03,0.1004E-03,0.8953E+10,0.9835E+10,0.6844E+10
123451,0.1037E-03,0.1190E-03,0.1011E-03,0.9546E+10,0.9770E+10,0.8301E+10
123501,0.1081E-03,0.1180E-03,0.1025E-03,0.9158E+10,0.9637E+10,0.8372E+10
123551,0.1133E-03,0.1497E-03,0.1020E-03,0.8870E+10,0.9686E+10,0.6601E+10
123601,0.1091E-03,0.1404E-03,0.1013E-03,0.9157E+10,0.9758E+10,0.7041E+10
123651,0.1045E-03,0.1266E-03,0.1006E-03,0.9506E+10,0.9832E+10,0.7814E+10
123701,0.1045E-03,0.1183E-03,0.1004E-03,0.9494E+10,0.9859E+10,0.8368E+10
123751,0.1153E-03,0.1411E-03,0.1042E-03,0.8645E+10,0.9502E+10,0.7014E+10
123801,0.1153E-03,0.1249E-03,0.1109E-03,0.8605E+10,0.8933E+10,0.7928E+10
123851,0.1095E-03,0.1328E-03,0.1042E-03,0.9094E+10,0.9510E+10,0.7461E+10
123901,0.1080E-03,0.1175E-03,0.1013E-03,0.9206E+10,0.9782E+10,0.8433E+10
123951,0.1150E-03,0.1345E-03,0.1030E-03,0.8675E+10,0.9628E+10,0.7374E+10
124001,0.1098E-03,0.1345E-03,0.1023E-03,0.9105E+10,0.9699E+10,0.7377E+10
124051,0.1163E-03,0.1225E-03,0.1063E-03,0.8554E+10,0.9333E+10,0.8098E+10
124101,0.1159E-03,0.1297E-03,0.1080E-03,0.8584E+10,0.9192E+10,0.7655E+10
124151,0.1093E-03,0.1402E-03,0.1013E-03,0.9163E+10,0.9802E+10,0.7085E+10
124201,0.1098E-03,0.1302E-03,0.1023E-03,0.9104E+10,0.9714E+10,0.7633E+10
124251,0.1111E-03,0.1373E-03,0.1035E-03,0.9022E+10,0.9606E+10,0.7238E+10
124301,0.1096E-03,0.1342E-03,0.1032E-03,0.9133E+10,0.9632E+10,0.7408E+10
124351,0.1165E-03,0.1264E-03,0.1059E-03,0.8560E+10,0.9398E+10,0.7873E+10
124401,0.1186E-03,0.1273E-03,0.1068E-03,0.8422E+10,0.9317E+10,0.7817E+10
124451,0.1198E-03,0.1385E-03,0.1047E-03,0.8367E+10,0.9512E+10,0.7187E+10
124501,0.1165E-03,0.1287E-03,0.1082E-03,0.8576E+10,0.9202E+10,0.7736E+10
124551,0.1145E-03,0.1338E-03,0.1030E-03,0.8765E+10,0.9674E+10,0.7450E+10
124601,0.1201E-03,0.1340E-03,0.1051E-03,0.8329E+10,0.9481E+10,0.7439E+10
124651,0.1293E-03,0.2019E-03,0.1066E-03,0.8025E+10,0.9357E+10,0.4938E+10
124701,0.1161E-03,0.1383E-03,0.1037E-03,0.8678E+10,0.9619E+10,0.7214E+10
124751,0.1109E-03,0.1264E-03,0.1032E-03,0.9045E+10,0.9667E+10,0.7898E+10
124801,0.1149E-03,0.1521E-03,0.1025E-03,0.8808E+10,0.9739E+10,0.6564E+10
124851,0.1039E-03,0.1123E-03,0.1011E-03,0.9621E+10,0.9880E+10,0.8894E+10
124901,0.1077E-03,0.1142E-03,0.1028E-03,0.9294E+10,0.9724E+10,0.8749E+10
124951,0.1189E-03,0.1378E-03,0.1070E-03,0.8474E+10,0.9338E+10,0.7254E+10
125001,0.1092E-03,0.1225E-03,0.1042E-03,0.9178E+10,0.9598E+10,0.8160E+10
125051,0.1052E-03,0.1118E-03,0.1025E-03,0.9520E+10,0.9758E+10,0.8947E+10
125101,0.1028E-03,0.1092E-03,0.1016E-03,0.9744E+10,0.9854E+10,0.9165E+10
125151,0.1114E-03,0.1237E-03,0.1016E-03,0.9020E+10,0.9858E+10,0.8091E+10
125201,0.1092E-03,0.1242E-03,0.1030E-03,0.9210E+10,0.9725E+10,0.8063E+10
125251,0.1163E-03,0.1562E-03,0.1016E-03,0.8765E+10,0.9866E+10,0.6416E+10
125301,0.1063E-03,0.1180E-03,0.1020E-03,0.9457E+10,0.9823E+10,0.8494E+10
125351,0.1261E-03,0.1848E-03,0.1028E-03,0.8197E+10,0.9759E+10,0.5427E+10
125401,0.1262E-03,0.1614E-03,0.1123E-03,0.8069E+10,0.8934E+10,0.6215E+10
125451,0.1178E-03,0.1297E-03,0.1121E-03,0.8543E+10,0.8956E+10,0.7738E+10
125501,0.1244E-03,0.1431E-03,0.1142E-03,0.8106E+10,0.8791E+10,0.7019E+10
125551,0.1183E-03,0.1388E-03,0.1063E-03,0.8565E+10,0.9446E+10,0.7238E+10
125601,0.1127E-03,0.1342E-03,0.1028E-03,0.8987E+10,0.9778E+10,0.7486E+10
125651,0.1151E-03,0.1674E-03,0.1042E-03,0.8907E+10,0.9648E+10,0.6006E+10
125701,0.1130E-03,0.1662E-03,0.1035E-03,0.9068E+10,0.9718E+10,0.6051E+10
125751,0.1103E-03,0.1493E-03,0.1023E-03,0.9255E+10,0.9836E+10,0.6740E+10
125801,0.1074E-03,0.1366E-03,0.1025E-03,0.9440E+10,0.9817E+10,0.7367E+10
125851,0.1152E-03,0.1299E-03,0.1066E-03,0.8767E+10,0.9447E+10,0.7748E+10
125901,0.1140E-03,0.1309E-03,0.1044E-03,0.8906E+10,0.9645E+10,0.7695E+10
125951,0.1176E-03,0.1585E-03,0.1037E-03,0.8741E+10,0.9715E+10,0.6355E+10
126001,0.1118E-03,0.1314E-03,0.1025E-03,0.9073E+10,0.9832E+10,0.7673E+10
126051,0.1199E-03,0.1562E-03,0.1037E-03,0.8577E+10,0.9723E+10,0.6457E+10
126101,0.1209E-03,0.1347E-03,0.1128E-03,0.8360E+10,0.8946E+10,0.7489E+10
126151,0.1166E-03,0.1309E-03,0.1130E-03,0.8671E+10,0.8930E+10,0.7710E+10
126201,0.1281E-03,0.1442E-03,0.1152E-03,0.7919E+10,0.8767E+10,0.6999E+10
126251,0.1187E-03,0.1481E-03,0.1070E-03,0.8608E+10,0.9435E+10,0.6822E+10
126301,0.1163E-03,0.1311E-03,0.1061E-03,0.8727E+10,0.9524E+10,0.7705E+10
126351,0.1186E-03,0.1585E-03,0.1068E-03,0.8643E+10,0.9463E+10,0.6375E+10
126401,0.1158E-03,0.1667E-03,0.1044E-03,0.8880E+10,0.9683E+10,0.6068E+10
126451,0.1070E-03,0.1252E-03,0.1030E-03,0.9481E+10,0.9822E+10,0.8082E+10
126501,0.1054E-03,0.1163E-03,0.1028E-03,0.9618E+10,0.9848E+10,0.8698E+10
126551,0.1157E-03,0.1299E-03,0.1049E-03,0.8789E+10,0.9651E+10,0.7791E+10
126601,0.1140E-03,0.1299E-03,0.1054E-03,0.8922E+10,0.9611E+10,0.7795E+10
126651,0.1123E-03,0.1345E-03,0.1035E-03,0.9098E+10,0.9792E+10,0.7535E+10
126701,0.1120E-03,0.1307E-03,0.1047E-03,0.9090E+10,0.9684E+10,0.7758E+10
126751,0.1271E-03,0.1683E-03,0.1087E-03,0.8151E+10,0.9327E+10,0.6024E+10
126801,0.1182E-03,0.1378E-03,0.1063E-03,0.8656E+10,0.9540E+10,0.7361E+10
126851,0.1181E-03,0.1290E-03,0.1070E-03,0.8632E+10,0.9480E+10,0.7868E+10
126901,0.1239E-03,0.1431E-03,0.1140E-03,0.8227E+10,0.8908E+10,0.7097E+10
126951,0.1144E-03,0.1519E-03,0.1051E-03,0.8970E+10,0.9659E+10,0.6687E+10
127001,0.1140E-03,0.1228E-03,0.1068E-03,0.8923E+10,0.9512E+10,0.8275E+10
127051,0.1225E-03,0.1476E-03,0.1130E-03,0.8351E+10,0.8994E+10,0.6887E+10
127101,0.1231E-03,0.1333E-03,0.1113E-03,0.8293E+10,0.9132E+10,0.7629E+10
127151,0.1125E-03,0.1404E-03,0.1040E-03,0.9151E+10,0.9786E+10,0.7244E+10
127201,0.1075E-03,0.1233E-03,0.1040E-03,0.9493E+10,0.9789E+10,0.8256E+10
127251,0.1158E-03,0.1256E-03,0.1051E-03,0.8810E+10,0.9682E+10,0.8102E+10
127301,0.1109E-03,0.1173E-03,0.1056E-03,0.9192E+10,0.9642E+10,0.8682E+10
127351,0.1108E-03,0.1242E-03,0.1040E-03,0.9238E+10,0.9801E+10,0.8202E+10
127401,0.1279E-03,0.1400E-03,0.1113E-03,0.8023E+10,0.9154E+10,0.7283E+10
127451,0.1271E-03,0.1380E-03,0.1137E-03,0.8051E+10,0.8966E+10,0.7386E+10
127501,0.1166E-03,0.1216E-03,0.1142E-03,0.8748E+10,0.8932E+10,0.8389E+10
127551,0.1267E-03,0.1509E-03,0.1192E-03,0.8089E+10,0.8560E+10,0.6761E+10
127601,0.1220E-03,0.1397E-03,0.1099E-03,0.8421E+10,0.9288E+10,0.7306E+10
127651,0.1222E-03,0.1395E-03,0.1128E-03,0.8382E+10,0.9056E+10,0.7322E+10
127701,0.1164E-03,0.1292E-03,0.1080E-03,0.8814E+10,0.9459E+10,0.7906E+10
127751,0.1150E-03,0.1478E-03,0.1068E-03,0.8974E+10,0.9568E+10,0.6914E+10
127801,0.1184E-03,0.1926E-03,0.1049E-03,0.8911E+10,0.9746E+10,0.5307E+10
127851,0.1103E-03,0.1490E-03,0.1040E-03,0.9381E+10,0.9839E+10,0.6864E+10
127901,0.1101E-03,0.1342E-03,0.1040E-03,0.9348E+10,0.9843E+10,0.7623E+10
127951,0.1117E-03,0.1373E-03,0.1066E-03,0.9215E+10,0.9605E+10,0.7454E+10
128001,0.1226E-03,0.1514E-03,0.1066E-03,0.8498E+10,0.9609E+10,0.6764E+10
128051,0.1172E-03,0.1328E-03,0.1049E-03,0.8803E+10,0.9765E+10,0.7714E+10
128101,0.1330E-03,0.1893E-03,0.1054E-03,0.7975E+10,0.9725E+10,0.5414E+10
128151,0.1321E-03,0.1884E-03,0.1161E-03,0.7953E+10,0.8830E+10,0.5443E+10
128201,0.1289E-03,0.1471E-03,0.1202E-03,0.7998E+10,0.8535E+10,0.6972E+10
128251,0.1248E-03,0.1566E-03,0.1075E-03,0.8344E+10,0.9542E+10,0.6550E+10
128301,0.1230E-03,0.1414E-03,0.1092E-03,0.8387E+10,0.9400E+10,0.7260E+10
128351,0.1141E-03,0.1285E-03,0.1078E-03,0.9022E+10,0.9528E+10,0.7990E+10
128401,0.1182E-03,0.1469E-03,0.1085E-03,0.8751E+10,0.9469E+10,0.6994E+10
128451,0.1133E-03,0.1338E-03,0.1049E-03,0.9113E+10,0.9796E+10,0.7683E+10
128501,0.1094E-03,0.1235E-03,0.1054E-03,0.9418E+10,0.9755E+10,0.8324E+10
128551,0.1060E-03,0.1130E-03,0.1044E-03,0.9709E+10,0.9848E+10,0.9100E+10
128601,0.1100E-03,0.1168E-03,0.1070E-03,0.9360E+10,0.9611E+10,0.8806E+10
128651,0.1124E-03,0.1247E-03,0.1082E-03,0.9174E+10,0.9508E+10,0.8254E+10
128701,0.1174E-03,0.1409E-03,0.1049E-03,0.8895E+10,0.9815E+10,0.7307E+10
128751,0.1166E-03,0.1256E-03,0.1087E-03,0.8852E+10,0.9474E+10,0.8198E+10
128801,0.1370E-03,0.1509E-03,0.1268E-03,0.7552E+10,0.8124E+10,0.6828E+10
128851,0.1230E-03,0.1347E-03,0.1175E-03,0.8395E+10,0.8770E+10,0.7652E+10
128901,0.1270E-03,0.1452E-03,0.1073E-03,0.8196E+10,0.9612E+10,0.7102E+10
128951,0.1248E-03,0.1442E-03,0.1085E-03,0.8309E+10,0.9510E+10,0.7152E+10
129001,0.1192E-03,0.1497E-03,0.1070E-03,0.8748E+10,0.9640E+10,0.6893E+10
129051,0.1213E-03,0.1767E-03,0.1085E-03,0.8692E+10,0.9517E+10,0.5844E+10
129101,0.1149E-03,0.1409E-03,0.1068E-03,0.9041E+10,0.9669E+10,0.7330E+10
129151,0.1172E-03,0.1788E-03,0.1061E-03,0.9022E+10,0.9738E+10,0.5778E+10
129201,0.1116E-03,0.1397E-03,0.1049E-03,0.9341E+10,0.9853E+10,0.7398E+10
129251,0.1103E-03,0.1352E-03,0.1051E-03,0.9420E+10,0.9834E+10,0.7649E+10
129301,0.1140E-03,0.1533E-03,0.1073E-03,0.9170E+10,0.9641E+10,0.6747E+10
129351,0.1194E-03,0.1707E-03,0.1061E-03,0.8847E+10,0.9753E+10,0.6062E+10
129401,0.1108E-03,0.1416E-03,0.1051E-03,0.9408E+10,0.9846E+10,0.7310E+10
129451,0.1459E-03,0.1912E-03,0.1109E-03,0.7349E+10,0.9341E+10,0.5416E+10
129501,0.1238E-03,0.1900E-03,0.1068E-03,0.8698E+10,0.9699E+10,0.5452E+10
129551,0.1263E-03,0.1464E-03,0.1104E-03,0.8256E+10,0.9389E+10,0.7080E+10
129601,0.1275E-03,0.1445E-03,0.1175E-03,0.8163E+10,0.8821E+10,0.7176E+10
129651,0.1282E-03,0.1626E-03,0.1152E-03,0.8156E+10,0.9007E+10,0.6379E+10
129701,0.1560E-03,0.1962E-03,0.1132E-03,0.6945E+10,0.9162E+10,0.5288E+10
129751,0.1839E-03,0.2074E-03,0.1638E-03,0.5669E+10,0.6337E+10,0.5004E+10
129801,0.1383E-03,0.1481E-03,0.1323E-03,0.7517E+10,0.7848E+10,0.7014E+10
129851,0.1370E-03,0.1397E-03,0.1340E-03,0.7585E+10,0.7753E+10,0.7435E+10
129901,0.1370E-03,0.1547E-03,0.1292E-03,0.7602E+10,0.8042E+10,0.6716E+10
129951,0.1553E-03,0.1862E-03,0.1333E-03,0.6766E+10,0.7800E+10,0.5583E+10
130001,0.1774E-03,0.2089E-03,0.1383E-03,0.5978E+10,0.7521E+10,0.4980E+10
130051,0.1509E-03,0.1955E-03,0.1357E-03,0.7003E+10,0.7669E+10,0.5322E+10
130101,0.1288E-03,0.1342E-03,0.1266E-03,0.8086E+10,0.8221E+10,0.7754E+10
130151,0.1354E-03,0.1397E-03,0.1311E-03,0.7691E+10,0.7940E+10,0.7452E+10
130201,0.1640E-03,0.1984E-03,0.1295E-03,0.6524E+10,0.8046E+10,0.5251E+10
130251,0.1825E-03,0.2060E-03,0.1619E-03,0.5741E+10,0.6437E+10,0.5058E+10
130301,0.1372E-03,0.1516E-03,0.1292E-03,0.7615E+10,0.8067E+10,0.6874E+10
130351,0.1306E-03,0.1388E-03,0.1261E-03,0.7993E+10,0.8268E+10,0.7515E+10
130401,0.1309E-03,0.1352E-03,0.1249E-03,0.7973E+10,0.8350E+10,0.7717E+10
130451,0.1405E-03,0.1736E-03,0.1240E-03,0.7542E+10,0.8418E+10,0.6013E+10
130501,0.1379E-03,0.1523E-03,0.1261E-03,0.7590E+10,0.8278E+10,0.6853E+10
130551,0.1559E-03,0.1831E-03,0.1316E-03,0.6809E+10,0.7936E+10,0.5704E+10
130601,0.1321E-03,0.1433E-03,0.1278E-03,0.7916E+10,0.8176E+10,0.7292E+10
130651,0.1314E-03,0.1392E-03,0.1252E-03,0.7962E+10,0.8350E+10,0.7507E+10
130701,0.1391E-03,0.1481E-03,0.1354E-03,0.7521E+10,0.7721E+10,0.7062E+10
130751,0.1576E-03,0.1979E-03,0.1371E-03,0.6723E+10,0.7630E+10,0.5286E+10
130801,0.1726E-03,0.1886E-03,0.1557E-03,0.6096E+10,0.6721E+10,0.5549E+10
130851,0.1479E-03,0.1829E-03,0.1287E-03,0.7192E+10,0.8131E+10,0.5724E+10
130901,0.1358E-03,0.1545E-03,0.1214E-03,0.7760E+10,0.8629E+10,0.6778E+10
130951,0.1258E-03,0.1483E-03,0.1111E-03,0.8390E+10,0.9429E+10,0.7064E+10
131001,0.1210E-03,0.1330E-03,0.1140E-03,0.8682E+10,0.9196E+10,0.7878E+10
131051,0.1214E-03,0.1502E-03,0.1104E-03,0.8723E+10,0.9497E+10,0.6980E+10
131101,0.1372E-03,0.1578E-03,0.1194E-03,0.7718E+10,0.8780E+10,0.6645E+10
131151,0.1209E-03,0.1466E-03,0.1109E-03,0.8775E+10,0.9464E+10,0.7156E+10
131201,0.1279E-03,0.1454E-03,0.1104E-03,0.8285E+10,0.9508E+10,0.7217E+10
131251,0.1360E-03,0.1481E-03,0.1273E-03,0.7729E+10,0.8247E+10,0.7092E+10
131301,0.1431E-03,0.1500E-03,0.1385E-03,0.7348E+10,0.7583E+10,0.7004E+10
131351,0.1690E-03,0.1888E-03,0.1428E-03,0.6267E+10,0.7358E+10,0.5565E+10
131401,0.1481E-03,0.1650E-03,0.1395E-03,0.7111E+10,0.7537E+10,0.6372E+10
131451,0.1785E-03,0.1881E-03,0.1690E-03,0.5900E+10,0.6221E+10,0.5590E+10
131501,0.1621E-03,0.1705E-03,0.1523E-03,0.6497E+10,0.6905E+10,0.6171E+10
131551,0.1522E-03,0.1588E-03,0.1476E-03,0.6919E+10,0.7131E+10,0.6628E+10
131601,0.1637E-03,0.1836E-03,0.1380E-03,0.6472E+10,0.7627E+10,0.5735E+10
131651,0.1196E-03,0.1342E-03,0.1128E-03,0.8847E+10,0.9339E+10,0.7846E+10
131701,0.1155E-03,0.1202E-03,0.1128E-03,0.9124E+10,0.9343E+10,0.8768E+10
131751,0.1414E-03,0.1693E-03,0.1245E-03,0.7519E+10,0.8469E+10,0.6227E+10
131801,0.1472E-03,0.1824E-03,0.1256E-03,0.7270E+10,0.8392E+10,0.5781E+10
131851,0.1216E-03,0.1335E-03,0.1159E-03,0.8689E+10,0.9103E+10,0.7900E+10
131901,0.1140E-03,0.1278E-03,0.1094E-03,0.9274E+10,0.9642E+10,0.8257E+10
131951,0.1127E-03,0.1161E-03,0.1106E-03,0.9369E+10,0.9542E+10,0.9091E+10
132001,0.1135E-03,0.1256E-03,0.1106E-03,0.9316E+10,0.9546E+10,0.8405E+10
132051,0.1165E-03,0.1462E-03,0.1094E-03,0.9127E+10,0.9653E+10,0.7228E+10
132101,0.1145E-03,0.1311E-03,0.1094E-03,0.9257E+10,0.9657E+10,0.8059E+10
132151,0.1349E-03,0.1688E-03,0.1147E-03,0.7932E+10,0.9219E+10,0.6263E+10
132201,0.1164E-03,0.1321E-03,0.1097E-03,0.9118E+10,0.9643E+10,0.8007E+10
132251,0.1163E-03,0.1273E-03,0.1099E-03,0.9111E+10,0.9626E+10,0.8310E+10
132301,0.1259E-03,0.1550E-03,0.1132E-03,0.8520E+10,0.9346E+10,0.6830E+10
132351,0.1251E-03,0.1512E-03,0.1149E-03,0.8542E+10,0.9214E+10,0.7005E+10
132401,0.1316E-03,0.1493E-03,0.1144E-03,0.8121E+10,0.9256E+10,0.7097E+10
132451,0.1238E-03,0.1521E-03,0.1135E-03,0.8621E+10,0.9337E+10,0.6966E+10
132501,0.1196E-03,0.1321E-03,0.1106E-03,0.8898E+10,0.9582E+10,0.8025E+10
132551,0.1196E-03,0.1478E-03,0.1094E-03,0.8953E+10,0.9690E+10,0.7174E+10
132601,0.1268E-03,0.2174E-03,0.1113E-03,0.8706E+10,0.9528E+10,0.4879E+10
132651,0.1153E-03,0.1512E-03,0.1092E-03,0.9290E+10,0.9718E+10,0.7021E+10
132701,0.1143E-03,0.1476E-03,0.1082E-03,0.9373E+10,0.9808E+10,0.7193E+10
132751,0.1240E-03,0.1447E-03,0.1123E-03,0.8634E+10,0.9457E+10,0.7338E+10
132801,0.1202E-03,0.1428E-03,0.1111E-03,0.8895E+10,0.9562E+10,0.7439E+10
